subject,body,category
"How many casual leaves do I have","Can you tell me how many casual leaves I currently have left this year?",HR
"Update bank details for salary","I need to update my bank account details for my salary deposits.",HR
"Leave approval process","What is the process for getting a leave request approved by my manager?",HR
"Download payslip","How can I download my payslip for the last three months?",HR
"Maternity leave policy","Can you explain the company policy on maternity leave and its duration?",HR
"Provident fund query","I have a question about my provident fund contributions this year.",HR
"Employee ID card replacement","My employee ID card is lost, how do I request a replacement?",HR
"Work from home policy","What is the current work from home policy for our department?",HR
"Resignation process query","What is the notice period and process if I want to resign from my role?",HR
"Health insurance enrollment","How do I enroll my family members in the company health insurance plan?",HR
"Salary slip discrepancy","There seems to be a discrepancy in my salary slip for this month.",HR
"Onboarding documents needed","What documents do I need to submit for the onboarding process?",HR
"Performance review schedule","When is the next performance review cycle scheduled for this year?",HR
"Sick leave balance query","I want to check my remaining sick leave balance for this quarter.",HR
"Referral bonus status","Can you update me on the status of my employee referral bonus?",HR
"What products do you offer","What products and services does your company currently offer?",General
"Documentation location","Where can I find the documentation for your platform and its features?",General
"More information about services","I would like more information about your services before signing up.",General
"Business hours query","What are your business hours and when is customer support available?",General
"Company contact information","Could you share your company's official contact information and address?",General
"Partnership inquiry","I am interested in exploring a partnership opportunity with your company.",General
"General feedback about product","I just wanted to share some general feedback about your product experience.",General
"Career opportunities inquiry","Does your company currently have any open career opportunities available?",General
"Press and media inquiry","I am a journalist and would like some information for a media article.",General
"Newsletter subscription question","How do I subscribe to your company newsletter for product updates?",General
"Request for product brochure","Could you send me a product brochure with an overview of your offerings?",General
"Event sponsorship inquiry","We are organizing an event and would like to know about sponsorship options.",General
"Company history question","I am curious about when your company was founded and its background.",General
"Social media presence query","Which social media platforms is your company active on?",General
"General product demo request","Could someone give me a general demo of your product and its capabilities?",General
"Credit card declined at checkout","My credit card keeps getting declined even though I have sufficient balance in my account.",Billing
"Annual plan discount question","Is there a discount available if I pay for the annual plan instead of monthly billing?",Billing
"Invoice email not received","I never received the invoice email for my last payment, can you resend it?",Billing
"Auto renewal charge dispute","I was auto renewed and charged for a plan I wanted to cancel before the renewal date.",Billing
"Currency conversion charge question","Why was I charged an extra currency conversion fee on my last billing statement?",Billing
"Downgrade plan refund","If I downgrade my plan halfway through the month, will I get a partial refund?",Billing
"Missing payment confirmation","I made a payment but never received a payment confirmation email or receipt.",Billing
"Late payment fee query","I was charged a late payment fee even though I paid on time, please review.",Billing
"Export feature broken","The export to PDF feature is completely broken and throws an error every time.",Technical
"Notifications not arriving","I am not receiving any push notifications on my phone from the app anymore.",Technical
"Video call disconnecting","My video calls keep disconnecting randomly in the middle of meetings.",Technical
"File upload timeout error","Every time I try to upload a large file the app throws a timeout error.",Technical
"Dashboard graphs not rendering","The analytics dashboard graphs are not rendering and the page just stays blank.",Technical
"Mobile app crash on startup","The mobile app crashes immediately on startup after the latest update.",Technical
"Search function returning errors","The search function on the platform is returning errors instead of results.",Technical
"Account locked after failed logins","My account got locked after several failed login attempts and I cannot get back in.",Technical
"Annual leave carry forward policy","Can unused annual leave be carried forward to the next calendar year?",HR
"Employee handbook request","Could you send me a copy of the latest employee handbook for new joiners?",HR
"Shift timing change request","How do I formally request a change in my work shift timings?",HR
"Reimbursement claim status","I submitted a travel reimbursement claim last month and want to know its status.",HR
"Team transfer request process","What is the internal process for requesting a transfer to a different team?",HR
"Probation period query","When does my probation period end and what happens after it is completed?",HR
"Company laptop return policy","What is the policy for returning company laptops and equipment after resignation?",HR
"Overtime pay calculation","How is overtime pay calculated for employees working extra hours this month?",HR
"Shipping and delivery information","Do you offer international shipping and how long does delivery usually take?",General
"Company location and offices","Where are your company offices located and do you have international branches?",General
"Product comparison request","Can you help me compare your basic plan with the premium plan features?",General
"Trial period question","Do you offer a free trial period before I need to commit to a paid plan?",General
"Accessibility features inquiry","Does your platform support accessibility features for visually impaired users?",General
"Language support question","Which languages does your platform currently support besides English?",General
"Community forum access","How can I join your community forum to discuss the product with other users?",General
"Sustainability practices inquiry","Can you share information about your company's sustainability and environmental practices?",General
